Rule ID,Description,URL,,,,,
S106,Standard outputs should not be used directly to log anything,https://rules.sonarsource.com/java/RSPEC-106,,,,,
S108,Nested blocks of code should not be left empty,https://rules.sonarsource.com/java/RSPEC-108,,,,,
S112,Generic exceptions should never be thrown,https://rules.sonarsource.com/java/RSPEC-112,,,,,
S125,Sections of code should not be commented out,https://rules.sonarsource.com/java/RSPEC-125,,,,,
S128,"Switch cases should end with an unconditional ""break"" statement",https://rules.sonarsource.com/java/RSPEC-128,,,,,
S131,"""switch"" statements should have ""default"" clauses",https://rules.sonarsource.com/java/RSPEC-131,,,,,
S899,Return values should not be ignored when they contain the operation status code,https://rules.sonarsource.com/java/RSPEC-899,,,,,
S1065,Unused labels should be removed,https://rules.sonarsource.com/java/RSPEC-1065,,,,,
S1066,"Collapsible ""if"" statements should be merged",https://rules.sonarsource.com/java/RSPEC-1066,,,,,
S1068,"Unused ""private"" fields should be removed",https://rules.sonarsource.com/java/RSPEC-1068,,,,,
S1075,URIs should not be hardcoded,https://rules.sonarsource.com/java/RSPEC-1075,,,,,
S1104,Class variable fields should not have public accessibility,https://rules.sonarsource.com/java/RSPEC-1104,,,,,
S1116,Empty statements should be removed,https://rules.sonarsource.com/java/RSPEC-1116,,,,,
S1118,Utility classes should not have public constructors,https://rules.sonarsource.com/java/RSPEC-1118,,,,,
S1121,Assignments should not be made from within sub-expressions,https://rules.sonarsource.com/java/RSPEC-1121,,,,,
S1123,Deprecated elements should have both the annotation and the Javadoc tag,https://rules.sonarsource.com/java/RSPEC-1123,,,,,
S1128,Useless imports should be removed,https://rules.sonarsource.com/java/RSPEC-1128,,,,,
S1133,Deprecated code should be removed,https://rules.sonarsource.com/java/RSPEC-1133,,,,,
S1134,"Track uses of ""FIXME"" tags",https://rules.sonarsource.com/java/RSPEC-1134,,,,,
S1135,"Track uses of ""TODO"" tags",https://rules.sonarsource.com/java/RSPEC-1135,,,,,
S1144,"Unused ""private"" methods should be removed",https://rules.sonarsource.com/java/RSPEC-1144,,,,,
S1148,Throwable.printStackTrace(...) should not be called,https://rules.sonarsource.com/java/RSPEC-1148,,,,,
S1161,"""@Override"" should be used on overriding and implementing methods",https://rules.sonarsource.com/java/RSPEC-1161,,,,,
S1168,Empty arrays and collections should be returned instead of null,https://rules.sonarsource.com/java/RSPEC-1168,,,,,
S1171,Only static class initializers should be used,https://rules.sonarsource.com/java/RSPEC-1171,,,,,
S1172,Unused method parameters should be removed,https://rules.sonarsource.com/java/RSPEC-1172,,,,,
